GeneID	GSM2069823	GSM2069824	GSM2069825	GSM2069826	GSM2069827	GSM2069828	GSM2069829	GSM2069830	GSM2069831	GSM2069832	GSM2069833	GSM2069834	GSM2069835	GSM2069836	GSM2069837	GSM2069838	GSM2069839	GSM2069840	GSM2069841	GSM2069842	GSM2069843	GSM2069844	GSM2069845	GSM2069846	GSM2069847	GSM2069848	GSM2069849	GSM2069850
123036	2.653	1.57	0.352	0.252	4.818	0.1447	0.5293	4.71	16.4	0.2522	7.208	1.02	0.8935	0.4079	0.347	6.09	1.512	1.565	1.022	1.452	0.4168	16.01	5.975	1.319	0.4401	1.387	0.9916	4.994
10516	24.33	2.087	2.789	3.37	46.86	1.183	4.752	7.469	59.43	6.212	21.77	12.23	3.407	15.48	7.911	5.384	17.8	12.76	4.632	4.188	1.346	2.725	4.5	58.67	30.89	8.248	1.623	6.523
9321	12.25	10.2	1.973	9.197	14.65	3.782	3.15	7.011	10.06	11.81	9.709	8.723	5.642	3.693	1.256	3.949	4.564	3.375	1.041	10.64	12.53	6.34	10.04	2.69	18.66	10.28	3.702	6.991
4287	5.245	3.721	1.95	6.108	7.764	3.053	1.481	3.909	3.634	5.875	4.992	4.955	3.564	3.716	0.8692	2.626	2.85	2.824	1.813	5.742	7.844	5.911	3.682	2.116	8.09	5.349	2.346	3.506
4707	193	403	177.1	255.9	277.2	211.6	118.6	468.5	128.2	262.3	260.4	153.3	564.7	175.5	248.6	219.6	178.7	175.7	176.1	207.1	196.6	207	213.4	212.2	289.8	455.3	231.3	179.3
53981	11.2	7.108	4.917	22.04	18.16	4.137	3.631	8.367	8.688	12.99	9.148	13.14	6.444	5.575	1.674	4.287	5.605	3.409	3.06	11.83	9.961	7.251	7.445	4.793	9.827	16.05	4.869	8.035
105370627	0	0	0	0	0	0.1242	0	0	0	0.03417	0	0	0	0	0	0	0	0.03614	0	0	0	0	0	0	0	0	0.03075	0
123041	0.1823	0.4127	0.1871	0.6185	2.717	53.04	0.07342	0.06828	0.08854	0.04988	0.1794	0.1153	0.5031	0.2029	5.109	0.1012	0.2173	1.577	0.9336	0.2288	0.06598	0.02885	0.1679	0.2783	0.1107	0.7482	0.1188	0.2896
105370707	0.4195	0.2563	0.4072	2.514	0.6916	0.1177	0.1447	0.5502	0.4902	0.05551	0.4525	0.5157	0.2229	0.3909	0.05829	0.2375	0.3585	0.1566	0.143	1.029	0.9182	0.03638	0.3026	0.4854	0.3369	1.134	0.4497	0.3804
79890	12.03	6.067	9.253	45.79	17.17	4.815	4.792	6.461	7.701	1.887	12.82	9.458	4.414	8.694	13.4	6.408	10.49	5.821	11.98	23.63	19.86	2.118	6.456	15.53	12.35	20.68	9.485	15.23
5641	235.9	72.49	109.8	388	54.19	75.18	108.4	157.9	159.7	257.8	118.5	164.6	136.7	72.83	53.04	171.7	186.5	143.2	81.8	262.2	125.7	42.22	118.5	78.18	47.1	133.8	103.5	63.44
9950	46.88	30.52	17.7	54.51	53.89	16.66	16.93	37.02	35.87	46.5	32.84	36.57	23.82	21.05	6.949	24.79	21.03	13.86	7.379	30.07	29.26	24.96	28.45	17.28	36.24	34.87	12.89	17.86
105370629	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02133	0	0	0	0	0	0	0	0	0	0	0	0	0.01999	0.02283
101929002	0	0	0	0	0	0	0	0.03367	0.01917	0.07813	0	0	0.01845	0	0	0.04178	0.03364	0	0	0	0	0	0.02366	0	0	0	0.07033	0.02677
1113	0.06274	0.01592	0.4047	0.1194	0.03943	0	0.1168	0.03864	3.662	37.24	0.07995	0	0.6565	0.7319	0.2165	0.1678	0.3474	0.6243	0.3465	0.06474	0.06952	0.04408	0.1222	1.131	0.01943	0.1963	0.6456	0.03072
3705	50.48	29.09	18.05	74.29	39.47	10.42	13.45	30.75	16.11	39.35	27.48	9.842	11.88	16.91	31.28	14.06	16.2	9.986	10.9	41.81	37.42	8.864	29.93	37.89	10.41	38.62	74.93	15.73
319085	0.006438	0.01634	0.008652	0	0.02023	0.006966	0	0	0.005643	0.01534	0	0.005479	0	0.1546	0	0	0	0.01216	0	0.03322	0.05351	0	0.0209	0.147	0.2692	0.03357	0.3451	0.1498
64112	48.04	39.73	27.11	59.06	54.44	34.22	14.28	39.37	16.52	45.91	26.74	16.27	29.12	20.57	13.89	15.08	15.77	8.109	3.463	38.96	41.52	10.41	27.86	8.491	13.26	52.23	16.55	24.51
26175	15	16.83	20.28	31.69	20.3	20.85	9.401	21.82	9.063	26.94	6.218	11.39	38.53	17.35	15.73	12.01	8.891	15.33	8.266	22.05	24.54	10.13	29.51	12.68	7.593	47.83	28.02	7.926
84520	20.88	20.69	12.96	28.87	13.74	22.94	12.33	26.76	20.14	40.53	16.53	24.43	25.15	8.646	4.986	15.21	10.87	15.13	6.748	20.82	20.84	13.7	21.45	5.204	22.83	27.17	10.55	19.33
55148	28.63	15.96	14.81	31.36	23.35	12.62	12.66	24.62	18.13	32.91	22.16	33.42	10.85	11.49	5.908	11.8	13.67	10.74	8.749	31.68	26.76	12.61	20.42	12.8	26.15	40.38	13.52	23.38
55727	8.76	5.22	4.864	8.303	8.576	3.993	3.23	5.367	5.32	8.737	6.865	7.828	2.649	4.644	1.073	3.909	4.312	2.577	1.697	9.417	12.73	5.903	7.194	4.004	15.22	10.55	4.115	4.491
57578	0.04964	0.04679	0.0305	0.03712	0.04902	0.01228	0.01321	0.1135	0.07707	0.1199	0.03744	0.03984	0.03112	0.06002	0.01383	0.0149	0.03054	0.03037	0.01414	0.01829	0.01834	0.02989	0.1212	0.02897	0.06589	0.1886	0.03649	0.05383
341947	0.05584	0.2126	0.03752	0.06644	0.1462	0.06042	0.104	0.2579	0.04894	0.399	0.05083	0.09505	0.2827	0.06387	0.0419	0.05334	0.02863	0	0	0.04802	0.1031	0.06538	0.5438	0.0671	0.173	0.07278	0.419	0.06836
145270	0.04234	0.01343	0.128	0.008396	0.005543	0	0.8739	0.5839	1.899	0.01261	0.3276	0.01802	0.4138	0.01614	0	0.1011	1.798	0.5067	0.6631	0.009102	0	0.219	0	0.4663	0.01639	1.78	0.05295	0.1944
105370631	0	0	0	0	0	0	0	0	0	0	0	0	0.01951	0.05289	0	0	0.01186	0	0	0.01988	0	0	0	0.08334	0	0	0	0
283592	0	0	0	0	0	0	0	0.0194	0	0	0	0	0	0	0	0.01204	0	0.007936	0	0	0.01164	0	0	0	0	0	0	0
90050	0	0	0	0	0	0	0	0	0.09681	0.01644	0	0	0	0	0	0	0	0.008696	0	0	0	0	0.1046	0	0	0.03599	0	0
51676	4.622	1.955	9.808	29.38	0.2739	0.6063	2.574	1.704	0.3519	3.748	2.601	0.7074	1.371	1.068	7.791	6.61	2.835	2.229	1.483	2.714	1.664	1.17	7.719	4.477	0.4772	8.045	4.234	8.094
100616140	0	0	0	0	0	0	0	0	0	0.9362	0	0	0	0	0	0	0	0.2476	0	0	0	0	1.276	0	0	0	0	0.4812
107984663	0	0.04401	0.02331	0.04127	0	0	0.0969	0	0	0.1239	0.03157	0.02952	0.02927	0.03967	0	0.04971	0.02668	0.06554	0.02661	0.01491	0	0	0.01877	0	0	0.1356	0.01859	0
256369	0	0	0.005053	0	0	0	0	0	0.00659	0.01791	0.006844	0	0.01269	0	0	0.02873	0	0.009472	0	0	0.006944	0.008805	0	0	0	0	0.01612	0.01841
78990	1.935	0.9721	1.846	4.576	1.033	0.2931	0.5765	0.5242	1.187	1.429	0.6199	4.67	0.6726	2.053	0.5864	0.5618	0.2659	0.4484	0.647	2.362	2.794	10.59	0.9796	3.143	1.186	2.401	2.713	0.18
57062	79.6	34.17	33.57	92.62	82.88	30.57	25.12	66.62	55.9	82.77	56.41	53.7	25.63	53.64	17.17	35.32	25.91	14.72	18.78	39.66	38.2	24.44	40.97	61.47	76.86	76.37	41.36	68.07
122509	4.866	6.493	5.884	13.31	4.759	6.371	2.679	4.593	3.955	10.5	5.782	6.149	4.644	2.796	4.046	4.078	3.543	2.951	4.999	6.645	6.657	1.694	8.352	5.998	3.165	7.367	8.52	2.358
3429	122.3	631.6	17.5	448.9	14.06	748.5	105.9	442.3	42.2	1486	124.7	609.3	226.2	599	36.46	686.8	103.5	347.2	731.6	811.8	291.5	442.7	80.78	231.1	35.67	928.1	46.16	102.9
83982	152.4	184	89.91	322.1	159.9	172.8	30.24	256.9	116.3	370.2	196.3	67.4	158.2	112.5	149.1	180.8	83.34	98.9	208.1	89.85	75.11	118.3	97.87	214.6	110	243.9	157.3	78.38
105370634	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03307	0	0	0	0	0	0	0	0	0
57718	0.01831	0.7897	0	0.00726	0.06391	0.03961	0	0.05167	0.3209	0.07267	0.005554	0.3012	0.1133	0.335	0.1602	0.1049	0.006258	0.123	0.01404	0.2938	0.2592	0.7073	0.2707	0.007332	0.00945	0.5806	0.09157	0.08964
51156	0	56.43	0	0	0.005632	0	0	0.04139	0.004712	0.006403	0	0.009152	0.004537	0.01845	0.008068	0.02055	0.002757	0.01016	0	0.009247	0.01489	0.6988	0.01745	0.00646	0	0.01402	0	0
866	0	154	0	0	0.01073	0.02217	0	0.04732	0.1437	0.0244	0	0.01744	0	0	0	0	0.04203	0	0	0	0	1.704	0.04434	0	0	0	0	0
390502	0	0	0	0	0	0	0	0	0.02852	0.03876	0	0.0277	0	0.03722	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5265	16.14	4632	10.03	1.302	14.19	2.736	4.818	14.88	191.4	8.858	51.29	29.76	5.318	36.67	5.736	32.23	24.38	19.3	10.74	44.71	26.99	68.62	78.44	14.01	7.782	17.58	4.933	24.1
256394	0.03858	158.8	0	0	0.0202	0	0	0.1188	0.06763	0	0	0	0	0	0	0.05528	0.02967	0	0	0.01659	0.1247	1.852	0	0	0	0	0.06203	0.04723
105370635	0	0	0.01821	0	0.01419	0	0	0	0.2137	0	0	0.06918	0	0.03099	0	0	0.01389	0	0	0	0	0.8566	0.02932	0	0	0.03532	0	0.09951
327657	0	0.01225	0	0	0	0	0.01798	0	0.01693	0	0	0.0411	0	0	0	0.01845	0	0	0.007408	0	0.03567	5.269	0	0	0	0	0	8.855
145264	0.009728	0.03703	0.02615	0.03472	0.03057	0.379	0	0.09735	0.01705	0.02317	0	0	0.1396	0.07789	0.0292	0.03718	0	0	0.0597	0.686	2.039	40.84	0.03158	0	0	0.02536	0.04171	0.02382
5267	0	61.19	0	0	0	0.01654	0	0.05883	0	0.0182	0	0	0	0.01748	0	0	0.01568	0	0	0	0.01411	0.7338	0.1819	0	0	0	0	0
5104	4.517	85.6	4.303	1.849	1.336	0.3306	0.5938	38.52	4.239	6.044	10.64	0.2262	11.04	4.346	1.266	0.05077	7.351	0.2092	0.1936	1.405	5.558	1.307	4.744	19.97	1.296	103.4	1.723	3.042
112268127	0.1886	6.067	0.1874	0.08783	0.07302	0.06212	0.03055	3.182	0.1653	0.4786	0.5375	0.02094	1.537	0.2439	0.06154	0.01567	0.3911	0.02066	0.01888	0.09874	0.4696	0.1249	0.3905	1.971	0.2032	9.13	0.1934	0.3314
12	14.63	2171	9.342	2.559	5.994	2.577	324.7	761.3	1969	778.2	2213	1.733	28.89	43.55	166.4	122	73.13	5.08	2.711	33.31	29.15	92.22	24.95	23.97	35.6	32.21	80.04	118.4
388007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02063	0	0.02117	0	0	0	0
145258	0.9672	0	0.1026	0.06057	0.2666	0.358	0.4741	0.1959	1.963	0.5457	0.8341	0.39	0.2578	0.08734	0.3438	0.3161	1.762	0.6413	2.265	0.5691	0.2586	0.5961	0.1928	2.11	0.1971	0.6304	0.1637	0.3428
108868751	0.0136	0	0	0	0.04272	0	0	0	0.1668	0.01619	0.07426	0.05786	0	0.01555	0	0.01299	0.09063	0.008563	0.02086	0.02338	0	0	0.01471	0.01634	0	0.01772	0	0.01665
107984693	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02604	0	0	0	0	0	0	0	0	0	0	0
107984639	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02399	0	0	0	0	0	0	0	0.07368	0	0	0	0	0	0
107984637	0	0	0	0	0	0	0	0	0.04119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107984646	0.1234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0259	0	0	0	0	0	0	0	0	0	0
23405	8.922	5.351	5.239	6.609	7.838	3.748	5.041	6.907	5.302	4.486	19.23	9.617	5.375	4.999	0.9198	4.788	4.796	3.557	1.505	9.069	12.99	7.458	8.537	2.333	7.52	9.583	2.302	5.03
100422981	0	0	0	0	0	0	0	0	0	0.5301	0.4051	0	0	0.5091	0	0.4252	0	0	0	0	0.411	1.042	0.9631	1.604	1.379	1.16	0	1.635
400242	2.487	1.196	2.051	2.108	0.4342	2.896	3.79	4.091	3.336	0.9875	2.539	2.021	4.039	2.5	0.6787	2.953	0.9277	1.234	1.33	2.755	3.515	2.648	5.546	0.6793	3.327	1.081	3.313	2.722
79789	8.74	9.266	2.508	16.52	0.8929	4.238	1.106	5.324	8.805	5.064	11.99	1.505	1.354	2.88	0.4061	4.189	1.538	1.194	0.8742	7.018	5.415	0.603	2.449	1.464	1.799	7.564	6.677	2.114
105370637	0	0.0417	0	0	0	0	0	0	0	0	0.02991	0	0.05546	0	0	0	0.1011	0	0	0	0	0.03848	0.03555	0	0	0	0.1057	0.3621
101929080	0	0.09031	0	0.02117	0	0	0	0	0.06238	0	0.06478	0	0	0	0	0	0	0	0	0	0	0	0.01925	0	0	0	0	0
107984710	0	0	0	0	0	0.124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105370638	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07857	0	0	0	0	0	0	0	0	0	0	0	0
105370639	0	0	0	0	0	0.03726	0	0.0265	0	0	0	0.0293	0	0	0	0.03289	0	0	0	0	0	0	0	0	0.05332	0	0	0
105370640	0.08501	0	0.02856	0	0.02226	0.04599	0	0.06544	0.03726	0	0.03869	0.03618	0	0	0	0	0	0.02677	0	0.03655	0.0785	0	0	0	0	0	0	0.05204
161176	7.018	3.391	0.6664	3.35	1.059	10.33	1.027	2.698	2.608	5.388	6.834	1.769	0.4487	1.118	1.041	2.348	1.942	1.706	0.6584	12.72	15.92	0.8418	1.629	1.015	14.17	2.541	2.148	6.141
101929107	0.3389	0.215	0.01035	0.06415	0.004034	0.1417	0.01435	0.2253	0.03376	0.08257	0.04207	0.01311	0.0195	0.03524	0.02312	0.3311	0.2567	0.04852	0.065	0.2716	0.313	0.00902	0.06668	0.06479	0.1193	0.09036	0.3716	1.339
112268122	0.1315	0.04354	0.1499	0.02722	0.02396	0.04951	0.0426	0.04402	0.0401	0.1907	0.08329	0.2093	0.04826	0.05887	0	0.04917	0.03812	0.02882	0.02194	0.123	0.2957	0.01339	0.1114	0.06185	0.4517	0.1267	0.05518	0.04901
283596	3.009	2.076	3.153	1.065	1.908	2.772	4.11	3.588	3.706	4.558	2.107	7.697	5.926	3.036	1.262	2.241	1.876	1.837	0.9471	4.008	5.929	2.873	4.141	1.168	4.015	4.184	1.506	2.57
677768	1.431	1.117	0.8135	0.3928	1.037	1.191	3.689	2.203	0.9646	4.194	1.002	3.278	1.3	0.7552	0.3303	1.682	0.5079	0.7625	0.2533	1.514	3.252	0.9021	2.858	0.1322	0.8522	1.004	0.8258	0.6737
